system:index,CoordString,LATITUDE,LONGITUDE,PLOTID,batch,changeLC,endLC,startLC,.geo
497,"59.29776, 11.1067",59.29776,11.1067,id_10068853,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.106695847966991,59.29775677931323]}"
493,"59.34005, 11.27356",59.34005,11.27356,id_10093355,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.273564036410944,59.34004780501871]}"
339,"59.26546, 11.28017",59.26546,11.28017,id_10149961,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.28017156100695,59.265458074918854]}"
288,"59.21187, 11.12943",59.21187,11.12943,id_10277411,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.12943079442784,59.211866445076495]}"
382,"59.28448, 11.04917",59.28448,11.04917,id_1063227,Sarpsborg_change_dw_2017_2022,2,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.049168618393729,59.28448158231535]}"
292,"59.2912, 11.07872",59.2912,11.07872,id_10676322,Sarpsborg_change_dw_2017_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.07872157654839,59.291199535277386]}"
201,"59.35885, 11.13371",59.35885,11.13371,id_10953182,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.133707204203922,59.35885174575292]}"
39,"59.32508, 11.29225",59.32508,11.29225,id_10989534,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.292251424038621,59.32507712280838]}"
522,"59.271, 11.06696",59.271,11.06696,id_11125672,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.066960379167801,59.270995246909926]}"
486,"59.25292, 11.18374",59.25292,11.18374,id_11492377,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.18373599377815,59.25291824005475]}"
538,"59.2818, 11.06568",59.2818,11.06568,id_1168755,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.06568415034678,59.28179516755381]}"
507,"59.26901, 11.06754",59.26901,11.06754,id_11734151,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.067541979763302,59.26900973582036]}"
482,"59.29272, 11.14572",59.29272,11.14572,id_11852972,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.145720379144418,59.29271781043306]}"
407,"59.37227, 11.07611",59.37227,11.07611,id_12178414,Sarpsborg_change_dw_2017_2022,3,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.076112097436573,59.372267931632265]}"
489,"59.29244, 11.14605",59.29244,11.14605,id_12282487,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.146054275970688,59.29244281012837]}"
69,"59.21, 11.07834",59.21,11.07834,id_12310503,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.078336724366626,59.20999831400562]}"
235,"59.38865, 11.12431",59.38865,11.12431,id_12467998,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.124309362316525,59.388649421314206]}"
270,"59.19358, 11.20271",59.19358,11.20271,id_12733679,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.20270982320127,59.19357682721229]}"
43,"59.34194, 11.21601",59.34194,11.21601,id_12778876,Sarpsborg_change_dw_2017_2022,1,6,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.21600556237367,59.341937580810836]}"
331,"59.33912, 11.00727",59.33912,11.00727,id_13318152,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.007268255568675,59.3391212495595]}"
501,"59.27687, 11.19106",59.27687,11.19106,id_13331156,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.191062410402793,59.27687061342028]}"
116,"59.17309, 11.21347",59.17309,11.21347,id_13819614,Sarpsborg_change_dw_2017_2022,1,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.213466476869478,59.173091187305985]}"
133,"59.36894, 10.97805",59.36894,10.97805,id_13964610,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.978054908700653,59.36894139437798]}"
465,"59.25468, 11.1428",59.25468,11.1428,id_14095264,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.142801721911066,59.25467682809178]}"
265,"59.35088, 11.00814",59.35088,11.00814,id_14170999,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.008138115517818,59.35087533488554]}"
541,"59.13835, 11.1857",59.13835,11.1857,id_14611312,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.18569900792869,59.13834590668306]}"
481,"59.16538, 11.1806",59.16538,11.1806,id_1467000,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.18060098440208,59.165382188397324]}"
7,"59.40426, 11.12546",59.40426,11.12546,id_14731007,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.12546311433846,59.404261169992175]}"
338,"59.32514, 11.29876",59.32514,11.29876,id_14976276,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.298759828315248,59.3251421198033]}"
344,"59.25897, 11.27132",59.25897,11.27132,id_1515087,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.271316372018633,59.25896503104297]}"
213,"59.20844, 11.21102",59.20844,11.21102,id_15163746,Sarpsborg_change_dw_2017_2022,1,2,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.211024786861516,59.20843815148358]}"
404,"59.34339, 11.05588",59.34339,11.05588,id_15203057,Sarpsborg_change_dw_2017_2022,3,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.055883092921391,59.343393894138856]}"
439,"59.19979, 11.09295",59.19979,11.09295,id_15482180,Sarpsborg_change_dw_2017_2022,3,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.092952616563473,59.19979247347939]}"
483,"59.29129, 11.09558",59.29129,11.09558,id_15611073,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.095584420026409,59.29128855894527]}"
227,"59.26, 11.22191",59.26,11.22191,id_15624822,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.221909419719378,59.25999774613979]}"
355,"59.30891, 11.00355",59.30891,11.00355,id_15656804,Sarpsborg_change_dw_2017_2022,2,2,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.00355443230762,59.30890626841637]}"
421,"59.36611, 11.02787",59.36611,11.02787,id_1571384,Sarpsborg_change_dw_2017_2022,3,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.027868476261608,59.36611023503515]}"
264,"59.34951, 11.03796",59.34951,11.03796,id_15802535,Sarpsborg_change_dw_2017_2022,1,6,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.037959935813653,59.34951424415491]}"
429,"59.2165, 11.19105",59.2165,11.19105,id_16119134,Sarpsborg_change_dw_2017_2022,3,8,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.191045755147151,59.21650221339022]}"
60,"59.3276, 11.21929",59.3276,11.21929,id_16180894,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.219290601055256,59.327598057893006]}"
134,"59.33875, 11.05402",59.33875,11.05402,id_16207387,Sarpsborg_change_dw_2017_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.054019941243373,59.33875213972224]}"
93,"59.3347, 11.16577",59.3347,11.16577,id_16353476,Sarpsborg_change_dw_2017_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.165774570142894,59.33469705176052]}"
162,"59.27791, 11.07282",59.27791,11.07282,id_16676394,Sarpsborg_change_dw_2017_2022,1,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.072820869102427,59.277908844742726]}"
144,"59.3264, 11.29867",59.3264,11.29867,id_1689610,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.298669115985941,59.326401432466334]}"
359,"59.28768, 11.14049",59.28768,11.14049,id_16997733,Sarpsborg_change_dw_2017_2022,2,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.140487096859456,59.28768349828011]}"
384,"59.27142, 11.17843",59.27142,11.17843,id_17064256,Sarpsborg_change_dw_2017_2022,2,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.178427323789517,59.271423161745716]}"
145,"59.28532, 11.22286",59.28532,11.22286,id_17182233,Sarpsborg_change_dw_2017_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.22285739499413,59.28531501316685]}"
255,"59.17924, 11.22717",59.17924,11.22717,id_17354797,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.22716609524468,59.1792354131209]}"
76,"59.26014, 11.30666",59.26014,11.30666,id_1748835,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.306659838072381,59.26014002285425]}"
308,"59.38844, 10.98377",59.38844,10.98377,id_17806470,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.983769277266006,59.3884368960682]}"
41,"59.34557, 11.07184",59.34557,11.07184,id_18339711,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.07184339523363,59.34556657644589]}"
328,"59.36887, 10.99424",59.36887,10.99424,id_18603354,Sarpsborg_change_dw_2017_2022,1,6,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.994242437341518,59.36887450855558]}"
184,"59.3056, 11.03129",59.3056,11.03129,id_18758327,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.03129129700128,59.30560214046603]}"
504,"59.15739, 11.17502",59.15739,11.17502,id_18981055,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.175019703424747,59.15739062436724]}"
390,"59.21533, 11.19658",59.21533,11.19658,id_19089265,Sarpsborg_change_dw_2017_2022,2,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.196577490103097,59.21533085642992]}"
38,"59.31762, 11.14465",59.31762,11.14465,id_19195425,Sarpsborg_change_dw_2017_2022,1,4,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.144653784343802,59.317618938545984]}"
80,"59.21042, 11.08011",59.21042,11.08011,id_19232303,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.080114122113034,59.210419046310435]}"
218,"59.25184, 11.29364",59.25184,11.29364,id_19251420,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.293644614398854,59.25183555883248]}"
132,"59.22496, 11.24837",59.22496,11.24837,id_19320957,Sarpsborg_change_dw_2017_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.248373509269602,59.22495628092293]}"
450,"59.26941, 11.17514",59.26941,11.17514,id_19580851,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.175140033074541,59.26941196755225]}"
524,"59.27682, 11.08504",59.27682,11.08504,id_1973809,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.08504100630585,59.27681537629834]}"
528,"59.26959, 11.05371",59.26959,11.05371,id_1975502,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.053713728644125,59.26958798743708]}"
422,"59.31099, 11.01387",59.31099,11.01387,id_19775657,Sarpsborg_change_dw_2017_2022,3,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.01386755468353,59.31099294549057]}"
62,"59.19697, 11.21466",59.19697,11.21466,id_20348607,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.214661206855183,59.19696713641376]}"
79,"59.21826, 11.13964",59.21826,11.13964,id_20429004,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.139641558975416,59.218256629457194]}"
301,"59.29826, 11.20631",59.29826,11.20631,id_20441598,Sarpsborg_change_dw_2017_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.206313783940267,59.29826306276986]}"
0,"59.29566, 11.17401",59.29566,11.17401,id_20521845,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.1740057508509,59.29566228182479]}"
177,"59.30787, 10.99471",59.30787,10.99471,id_20558797,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.994709766140934,59.30787424549185]}"
131,"59.3488, 11.02015",59.3488,11.02015,id_21593899,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.020152227546383,59.34880331454093]}"
266,"59.36186, 11.20639",59.36186,11.20639,id_21927084,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.206394868597098,59.361864018413314]}"
64,"59.22667, 11.28424",59.22667,11.28424,id_22023187,Sarpsborg_change_dw_2017_2022,1,5,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.284242324604412,59.22666690321153]}"
275,"59.37296, 11.12808",59.37296,11.12808,id_2204321,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.12808043547105,59.37295736938669]}"
24,"59.29656, 11.09152",59.29656,11.09152,id_22163515,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.091518272182881,59.296564133947705]}"
415,"59.25964, 11.22715",59.25964,11.22715,id_22248689,Sarpsborg_change_dw_2017_2022,3,5,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.227149313625336,59.25963866123732]}"
165,"59.27232, 11.13514",59.27232,11.13514,id_22281740,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.135135110268443,59.27232021006549]}"
369,"59.27065, 11.17645",59.27065,11.17645,id_22641739,Sarpsborg_change_dw_2017_2022,2,1,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.176447330773904,59.27064778366191]}"
460,"59.29731, 11.10667",59.29731,11.10667,id_22728348,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.106668100536433,59.297308071368334]}"
50,"59.1731, 11.21294",59.1731,11.21294,id_22799795,Sarpsborg_change_dw_2017_2022,1,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.212942059896937,59.17310012158295]}"
260,"59.31478, 11.20686",59.31478,11.20686,id_22892805,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.206857199377083,59.31478332722619]}"
176,"59.20628, 11.08056",59.20628,11.08056,id_23190614,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.080562930838648,59.20627960522883]}"
487,"59.27289, 11.1278",59.27289,11.1278,id_23349143,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.127799517032498,59.272889498024064]}"
3,"59.1435, 11.18358",59.1435,11.18358,id_2354646,Sarpsborg_change_dw_2017_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.183579968235659,59.1435021822602]}"
281,"59.32299, 10.95148",59.32299,10.95148,id_24146965,Sarpsborg_change_dw_2017_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.951480993380528,59.32299121281156]}"
317,"59.17688, 11.11535",59.17688,11.11535,id_24697750,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.115353240915976,59.17688178385404]}"
277,"59.34278, 11.10016",59.34278,11.10016,id_24759333,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.10016342831582,59.34277774953755]}"
402,"59.16098, 11.23857",59.16098,11.23857,id_24858981,Sarpsborg_change_dw_2017_2022,3,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.238574568319777,59.160982183369384]}"
122,"59.34644, 11.26783",59.34644,11.26783,id_24878526,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.267834962657936,59.34643611017673]}"
123,"59.22504, 11.15882",59.22504,11.15882,id_24926489,Sarpsborg_change_dw_2017_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.158819033446038,59.22503649919759]}"
544,"59.26079, 11.12055",59.26079,11.12055,id_25029019,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.120553498499419,59.26079058231101]}"
99,"59.35188, 11.21243",59.35188,11.21243,id_2517903,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.212431660189068,59.351880015185685]}"
441,"59.29539, 11.04684",59.29539,11.04684,id_2520138,Sarpsborg_change_dw_2017_2022,3,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.046839020111081,59.29538763721589]}"
463,"59.19684, 11.23234",59.19684,11.23234,id_25275838,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.23234040580249,59.196844348762674]}"
180,"59.34212, 11.18401",59.34212,11.18401,id_25449611,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.18400959706789,59.34211835298318]}"
256,"59.34867, 11.14661",59.34867,11.14661,id_25524837,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.146612159780833,59.34866857341743]}"
294,"59.2922, 11.30198",59.2922,11.30198,id_25655748,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.301981289909849,59.292204940634406]}"
225,"59.36091, 11.24153",59.36091,11.24153,id_25670692,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.241525694141078,59.36090541865172]}"
478,"59.30146, 11.11096",59.30146,11.11096,id_25923477,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.110964906085778,59.301460567711594]}"
55,"59.25368, 11.14362",59.25368,11.14362,id_26150559,Sarpsborg_change_dw_2017_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.143615870186924,59.25367525561862]}"
87,"59.16282, 11.20493",59.16282,11.20493,id_26321659,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.204929790445615,59.16281542095703]}"
324,"59.32622, 11.26807",59.32622,11.26807,id_26834595,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.268069450081855,59.32621903392844]}"
443,"59.29115, 11.10997",59.29115,11.10997,id_26856452,Sarpsborg_change_dw_2017_2022,3,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.10997470140435,59.2911459951491]}"
251,"59.31529, 11.11112",59.31529,11.11112,id_2700149,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.11111961935658,59.3152920889866]}"
135,"59.32718, 11.10395",59.32718,11.10395,id_27296048,Sarpsborg_change_dw_2017_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.103946580202454,59.327175999697445]}"
447,"59.23266, 11.2601",59.23266,11.2601,id_27444555,Sarpsborg_change_dw_2017_2022,3,4,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.260100109849457,59.23265860941119]}"
209,"59.38364, 11.11167",59.38364,11.11167,id_27656909,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.111670778930675,59.38364445522623]}"
371,"59.35939, 11.18283",59.35939,11.18283,id_27666662,Sarpsborg_change_dw_2017_2022,2,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.18283185087921,59.35938599550982]}"
49,"59.16235, 11.22169",59.16235,11.22169,id_27775215,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.22169438533692,59.16235006669136]}"
46,"59.21208, 11.24507",59.21208,11.24507,id_28002410,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.245073481478231,59.212076879298955]}"
326,"59.36202, 11.20236",59.36202,11.20236,id_28705796,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.202357823777998,59.36202210821171]}"
305,"59.40429, 11.13498",59.40429,11.13498,id_28726592,Sarpsborg_change_dw_2017_2022,1,4,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.134978634452855,59.4042854915572]}"
234,"59.3953, 11.11856",59.3953,11.11856,id_28862221,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.118560879079036,59.39530053637739]}"
249,"59.3411, 11.05873",59.3411,11.05873,id_29126933,Sarpsborg_change_dw_2017_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.058734126010172,59.34110315511896]}"
26,"59.34585, 10.98427",59.34585,10.98427,id_29353446,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.984274136843306,59.34585110930175]}"
499,"59.30015, 11.15251",59.30015,11.15251,id_29432745,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.15251193079032,59.30015165788966]}"
412,"59.20045, 11.18406",59.20045,11.18406,id_30039724,Sarpsborg_change_dw_2017_2022,3,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.184062536005204,59.20044947848178]}"
406,"59.28518, 11.19897",59.28518,11.19897,id_30230945,Sarpsborg_change_dw_2017_2022,3,4,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.198970717458877,59.28518166601022]}"
286,"59.25655, 11.31659",59.25655,11.31659,id_3035654,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.316592159271584,59.25654972834193]}"
126,"59.23963, 11.31334",59.23963,11.31334,id_30733797,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.313339796258468,59.23962822770588]}"
461,"59.29861, 11.12027",59.29861,11.12027,id_30757518,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.12027295218947,59.29861440723666]}"
88,"59.30577, 11.20346",59.30577,11.20346,id_30949744,Sarpsborg_change_dw_2017_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.203462055736768,59.30576757436147]}"
536,"59.28428, 11.11253",59.28428,11.11253,id_30968098,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.112534070309321,59.284277290860686]}"
337,"59.2237, 11.23287",59.2237,11.23287,id_3099585,Sarpsborg_change_dw_2017_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.232867804048354,59.22369624834107]}"
272,"59.20842, 11.15339",59.20842,11.15339,id_31129075,Sarpsborg_change_dw_2017_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.153390123012073,59.208417455880905]}"
342,"59.33239, 11.22787",59.33239,11.22787,id_31189388,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.227866813785221,59.332392587670064]}"
302,"59.25026, 11.21321",59.25026,11.21321,id_31220004,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.21320759418996,59.25026420514799]}"
462,"59.26791, 11.14679",59.26791,11.14679,id_31221736,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.146791468575831,59.26790633310651]}"
154,"59.33813, 11.2599",59.33813,11.2599,id_31780154,Sarpsborg_change_dw_2017_2022,1,5,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.259895351842555,59.33812950562811]}"
172,"59.33677, 11.13267",59.33677,11.13267,id_31942779,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.132673520956958,59.33677011342473]}"
287,"59.21512, 11.1447",59.21512,11.1447,id_32056551,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.144701415338373,59.21511893207993]}"
388,"59.24543, 11.21202",59.24543,11.21202,id_32064698,Sarpsborg_change_dw_2017_2022,2,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.212017539651537,59.245433358006196]}"
457,"59.29129, 11.10665",59.29129,11.10665,id_32125336,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.10664721523492,59.29128970519067]}"
130,"59.33207, 11.14011",59.33207,11.14011,id_32502949,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.140114357342691,59.33206670703325]}"
513,"59.13563, 11.18168",59.13563,11.18168,id_327029,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.181680068283672,59.13562860915061]}"
325,"59.32888, 11.01334",59.32888,11.01334,id_32809852,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.013343837759463,59.328876927250334]}"
160,"59.34276, 11.22591",59.34276,11.22591,id_32830504,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.225907751646647,59.34275701008648]}"
4,"59.2085, 11.24396",59.2085,11.24396,id_32966267,Sarpsborg_change_dw_2017_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.243962842651149,59.208502602280674]}"
